"concerncode","bedrijfsnaam","plaats","geestelijkegezondheidszorg","gehandicaptenzorg","thuiszorg","omzet","winst","personeelskostentotaal","fte","jaar","perc_winst","perc_loon","omzet_fte"
"X9FL3WNQ5B","Stichting Prisma","Waalwijk","nee","ja","nee","109630647","1691639","69388849",NA,2012,1.5,63.3,NA
"X9FSVRWJD7","Stichting Maasduinen","KAATSHEUVEL","nee","nee","ja","25729975","1827555","15531609",NA,2012,7.1,60.4,NA
"X9G4PTXRVB","Stichting Mosae Zorggroep","Maastricht","nee","nee","ja","28723827","34476","20875621",NA,2012,0.1,72.7,NA
"X9GV4YYAB9","Stichting Careaz","Lichtenvoorde","nee","nee","ja","23441430","1654743","15196817",NA,2012,7.1,64.8,NA
"X9GWE4T2L7","Stichting Vincent van Gogh","Venray","ja","nee","nee","107980942","466270","73436288",NA,2012,0.4,68,NA
"X9HYUCFR37","Rosa Spier Stichting","Laren","nee","nee","ja","2775033","14238","1863823",NA,2012,0.5,67.2,NA
"X9JEBXVSDR","Ipse de Bruggen","Zwammerdam","nee","ja","nee","275932233","3492764","185970709",NA,2012,1.3,67.4,NA
"X9LBMPUBJ7","Stichting GGNet","Warnsveld","ja","nee","nee","158334000","3979000","109036000",NA,2012,2.5,68.9,NA
"X9LGBJRZWG","CaroCare B.V.","VROOMSHOOP","nee","nee","ja","2195159","65994","1571147",NA,2012,3,71.6,NA
"X9M7L5UJY9","Stichting Taborhuis","Groesbeek","ja","nee","nee","304628","-121160","325761",NA,2012,-39.8,106.9,NA
"X9M9KPRB9K","Stichting LuciVer","Wijchen","nee","nee","ja","8389031","109255","5044455",NA,2012,1.3,60.1,NA
"X9MR73D54G","Stichting Sint Annaklooster","Eindhoven","nee","nee","ja","11568936","421844","8703746",NA,2012,3.6,75.2,NA
"X9N3K9GE3R","Stichting Kwintes","Zeist","ja","nee","nee","83279225","6169974","49301328",NA,2012,7.4,59.2,NA
"X9NNL8E88T","Me-di-Rect","Soesterberg","nee","nee","ja",NA,NA,NA,NA,2012,NA,NA,NA
"X9P73CMRBT","Stichting Curamus","Hulst","nee","nee","ja","29439472","1189434","19848928",NA,2012,4,67.4,NA
"X9P9VEF2XR","Nederlandse Stichting voor Woon- en            Activiteitencentra voor Lichamelijk            Gehandicapten (NSWAC)","Breda","nee","ja","nee","17522757","705711","9918534",NA,2012,4,56.6,NA
"X9PRJVZU76","Stichting Gors","GOES","nee","ja","nee","33519807","571195","20831979",NA,2012,1.7,62.1,NA
"X9QC5DL959","Apanta GGZ B.V.","Veldhoven","ja","nee","nee","4085212","-20775","3066514",NA,2012,-0.5,75.1,NA
"X9QPN7CV9G","Stichting Autismetotaal.nl","Beek en Donk","ja","nee","nee","656960","5150","422121",NA,2012,0.8,64.3,NA
"X9QZXQKSY7","Stichting Novadic-Kentron","Vught","ja","nee","nee","74593117","-636527","57842370",NA,2012,-0.9,77.5,NA
"X9RQM4QLL9","Stichting Ambiq","Hengelo","ja","ja","nee","60048348","2199225","40717317",NA,2012,3.7,67.8,NA
"X9TEN4H2AK","Stichting Zorg & Wonen Glorieux","Eindhoven","nee","nee","ja","3072644","113214","1994247",NA,2012,3.7,64.9,NA
"X9TXHMXBZG","Stichting ContourdeTwern","Tilburg","nee","nee","ja","60868","0","60868",NA,2012,0,100,NA
"X9UBXU7GHT","Stichting Hulpvaardig","Nibbixwoud","nee","nee","ja","210217","19022","182767",NA,2012,9,86.9,NA
"X9UK5XWNEB","Stichting Mens & Zorg","Amsterdam Zuidoost","nee","nee","ja",NA,NA,NA,NA,2012,NA,NA,NA
"X9XPDWAFWR","Stichting Het Maanderzand","Ede","nee","nee","ja","4920341","288285","3175881",NA,2012,5.9,64.5,NA
"XE27CHVMQG","Coach-ster B.V.","Roermond","ja","nee","nee",NA,NA,NA,NA,2012,NA,NA,NA
"XE5V2BNLHG","Stichting Residentiële en Ambulante Zorg","Schalkwijk","nee","nee","ja","24756023","-439304","21388185",NA,2012,-1.8,86.4,NA
"XE5WC75KUB","Royal Care B.V.","Blaricum","nee","nee","ja","4956728","201606","4171403",NA,2012,4.1,84.2,NA
"XE6BR23VQ9","Centrum '45","Oegstgeest","ja","nee","nee","14203331","-164875","8141937",NA,2012,-1.2,57.3,NA
"XE6GDFQ9NK","Stichting Duinrust","'s-Gravenhage","nee","nee","ja","7576211","-41971","4216306",NA,2012,-0.6,55.7,NA
"XE79S2QVKT","Interzorg Regulier B.V.","ZEIST","nee","nee","ja","414252","-107",NA,NA,2012,0,NA,NA
"XE7RQZC42K","Stichting Zorggroep Solis","Deventer","nee","nee","ja",NA,NA,NA,NA,2012,NA,NA,NA
"XEAFW72UUT","Stichting Zuidwester","Middelharnis","nee","ja","nee","82558732","6000145","52227845",NA,2012,7.3,63.3,NA
"XEB25UWG5K","Zigzag Beheer B.V.","Amsterdam","nee","nee","ja","2363532","228519","1035994",NA,2012,9.7,43.8,NA
"XECENKMNP7","Stichting Sinai-Centrum","Amstelveen","ja","nee","nee","15912421","689475","9944972",NA,2012,4.3,62.5,NA
"XECJXSZ7LB","Stichting Triversum, Centrum voor Kinder- en Jeugdpsychiatrie","Alkmaar","ja","nee","nee","25848048","129117","20577682",NA,2012,0.5,79.6,NA
"XEDAGGRPSR","Stichting NOVO","Groningen","nee","ja","nee","79795000","2562000","52407000",NA,2012,3.2,65.7,NA
"XEDEDLU3FT","Stichting Solidez","Renkum","nee","nee","ja","6756348","-251958","4818345",NA,2012,-3.7,71.3,NA
"XEDJR9D9X6","Stichting De Praktijk - Centrum voor Ambulante Diagnostiek en Behandeling op Maat","Alkmaar","ja","nee","nee","6017435","619646","4413284",NA,2012,10.3,73.3,NA
"XEDX48PVBK","Stichting Zorgrésidence Regina","Velp","nee","nee","ja","2037600","138175","1279698",NA,2012,6.8,62.8,NA
"XEFJZQ5ACG","Flexiekids B.V.","Alphen Aan Den Rijn","nee","nee","ja","746337","-49940","714573",NA,2012,-6.7,95.7,NA
"XEFXFGE4S7","Stichting Zorg Thuis","Driebergen-Rijsenburg","nee","nee","ja","2496345","17762","1919181",NA,2012,0.7,76.9,NA
"XEG5EMTBQ6","Groot Gelre Beheer B.V.","Arnhem","nee","nee","ja","18250467","1069245","16171659",NA,2012,5.9,88.6,NA
"XEGUPRXJEK","de Zorgmantel","Berkel-Enschot","nee","nee","ja","194288","113112","59005",NA,2012,58.2,30.4,NA
"XEGVYTHZDT","Stichting Zorggroep Oldael","'s-Gravenhage","nee","nee","ja","8034621","-20554","5362536",NA,2012,-0.3,66.7,NA
"XEH36HZ3V9","Stichting Zorggroep De Vechtstreek","Breukelen","nee","nee","ja","12822349","535144","7366044",NA,2012,4.2,57.4,NA
"XEKC3FHXL6","Stichting Camphillgemeenschap Maartenhuis","De Koog","nee","ja","nee","2726819","43133","1760893",NA,2012,1.6,64.6,NA
"XEKZZXXN69","Stichting Woon-Zorgcentra De Rijnhoven","HARMELEN","nee","nee","ja","25902632","626606","17546906",NA,2012,2.4,67.7,NA
"XEND76VTV7","Stichting NOVIzorg","Hoensbroek","nee","ja","nee","2690043","307838","1493156",NA,2012,11.4,55.5,NA
"XENMU4SX6B","Stichting Landelijke Instelling voor Maatschappelijke Ondersteuning en Rehabilitatie","LEEUWARDEN","ja","nee","nee","19679199","-599253","14452070",NA,2012,-3,73.4,NA
"XEPC3YMJRG","Stichting RST Zorgverleners","Barneveld","nee","nee","ja","24230051","506220","22615234",NA,2012,2.1,93.3,NA
"XEPHTFJ9ER","Stichting Pedagogisch Sociaal Werk Midden-Limburg","Roermond","nee","ja","nee","38689900","1901975","24916040",NA,2012,4.9,64.4,NA
"XEPZWHB3QB","Centrum voor Dienstverlening","Rotterdam","ja","nee","ja","33020366","1619247","23663961",NA,2012,4.9,71.7,NA
"XERQ6R369T","Thuiszorg Samen Verder B.V.","Helmond","nee","nee","ja",NA,NA,NA,NA,2012,NA,NA,NA
"XERVMMQY5R","Beter Thuis Wonen Thuiszorg B.V.","Hoogeveen","nee","nee","ja","5987936","194824","5504880",NA,2012,3.3,91.9,NA
"XESQSGUPGK","Nederlandse Stichting voor het Dove en Slechthorende Kind","Amsterdam","nee","ja","nee","7041799","360950","5166421",NA,2012,5.1,73.4,NA
"XESVTQRDJ6","Stichting Zorgverlening 's Heeren Loo","Amersfoort","nee","ja","nee","650576000","14233000","451513000",NA,2012,2.2,69.4,NA
"XET9XRT7HR","Omega Groep B.V.","Zwolle","nee","ja","nee","9028531","83821","6237463",NA,2012,0.9,69.1,NA
"XETXVBWLW6","Zorginstelling Perspectief B.V.","Amsterdam","nee","ja","nee","948133","211848","600457",NA,2012,22.3,63.3,NA
"XEUNHP5S47","AtlantisZorg Stichting voor mens en welzijn","Dongen","ja","nee","nee","677671","39814","497695",NA,2012,5.9,73.4,NA
"XEV9YUNGW7","Stichting De Driestroom","Elst","nee","ja","nee","59481411","1444172","41967049",NA,2012,2.4,70.6,NA
"XEVRPJ58GR","Stichting ViVa! Zorggroep","Velsen-Noord","nee","nee","ja","140948398","4938962","98123241",NA,2012,3.5,69.6,NA
"XEXW452777","Stichting Samenwerkende Zorgboeren Zuid","Nieuwkuijk","nee","ja","nee","1808010","147487","150976",NA,2012,8.2,8.4,NA
"XEYH86STQT","Stichting De Kooimeer, Rooms Katholiek Zorgcentrum voor Ouderen","Alkmaar","nee","nee","ja","6067047","-22038","4090215",NA,2012,-0.4,67.4,NA
"XEYQMKESRB","Stichting Doopsgezind Zorgcentrum Het Mennistenerf","Zaandam","nee","nee","ja","8858147","931263","5140161",NA,2012,10.5,58,NA
"XEYZ6SVHNR","Stichting Omring","Hoorn","nee","nee","ja","183425906","5471958","130437477",NA,2012,3,71.1,NA
"XEZUQ4BEZ7","Stichting Espria","Meppel","ja","ja","ja","837841610","27331215","626711997",NA,2012,3.3,74.8,NA
"XL2CC2VNJT","Stichting Zorgfix Thuiszorg","Almere","nee","nee","ja",NA,NA,NA,NA,2012,NA,NA,NA
"XL2P5XS756","Stichting Zorgplatform Geranós","IJsselstein","nee","nee","ja",NA,NA,NA,NA,2012,NA,NA,NA
"XL33ZFVZ6K","Thuiszorg Ons Thuis","St. Willebrord","nee","nee","ja",NA,NA,NA,NA,2012,NA,NA,NA
"XL3TYRH7WG","Stichting Stade","Utrecht","nee","nee","ja",NA,NA,NA,NA,2012,NA,NA,NA
"XL5FN98ZPG","Stichting Vecht en IJssel","Utrecht","nee","nee","ja","26407167","1067721","13658690",NA,2012,4,51.7,NA
"XL5U5LEMB9","Voorzet Begeleiding B.V.","Haarlem","ja","nee","nee","1163389","128171","912941",NA,2012,11,78.5,NA
"XL5VAQ7646","Creating Balance B.V.","Zwolle","ja","nee","nee","419699","134499","224147",NA,2012,32,53.4,NA
"XL6N4UC2GT","De Kleine Hoeve","Breda","nee","ja","nee",NA,NA,NA,NA,2012,NA,NA,NA
"XL7PQNCZ4B","CrisisCare B.V.","Amsterdam","ja","nee","nee","2872459","35829","2284314",NA,2012,1.2,79.5,NA
"XLABWG2QXG","Buro Onze Zorg B.V.","Almere","nee","nee","ja","624025","8586","455515",NA,2012,1.4,73,NA
"XLCXKMJYKG","Stichting Wielewaal","Hilversum","nee","ja","ja",NA,NA,NA,NA,2012,NA,NA,NA
"XLD74SQ4ZB","Stichting Balans & Impuls Intensief","'s-Gravenhage","ja","nee","nee","130162","-3079","0",NA,2012,-2.4,0,NA
"XLDXK632DR","Big Move Institute","Diemen","ja","nee","nee","1092148","-28259","723375",NA,2012,-2.6,66.2,NA
"XLEL9547CK","Altenastaete Thuiszorg B.V.","Nieuwendijk","nee","nee","ja",NA,NA,NA,NA,2012,NA,NA,NA
"XLEMBEREFG","Stichting Zorg en Begeleiding op Ruimzicht","Oldelamer","nee","ja","nee",NA,NA,NA,NA,2012,NA,NA,NA
"XLF6JGPFPR","Splendid Care","Almere","nee","nee","ja",NA,NA,NA,NA,2012,NA,NA,NA
"XLF7F9EZ86","Face to Face Thuisbegeleiding B.V.","Budel","ja","nee","nee",NA,NA,NA,NA,2012,NA,NA,NA
"XLGKEWT5J7","Stichting Diaphora Woonvoorzieningen","VELP","nee","nee","ja","751327","-35063","694593",NA,2012,-4.7,92.4,NA
"XLK8JZTP9B","Stichting Reigershoeve","Castricum","nee","nee","ja",NA,NA,NA,NA,2012,NA,NA,NA
"XLKWFNW94T","Stichting Maatschappelijk MultiMaatZorg & Wel- zijn","Den Haag","nee","nee","ja","588656","-33390","424966",NA,2012,-5.7,72.2,NA
"XLLSMCU8R7","Stichting Keroazie","Pieterburen","ja","nee","nee","778022","64558","313004",NA,2012,8.3,40.2,NA
"XLM87YD6VG","Stichting Viore","Hilversum","ja","nee","nee",NA,NA,NA,NA,2012,NA,NA,NA
"XLPWTXJA59","Maatman Zorggroep B.V.","Weert","ja","ja","nee",NA,NA,NA,NA,2012,NA,NA,NA
"XLQWVAFQ6R","Stichting Woonzorg Lojal","Zelhem","ja","ja","nee","2644897","160674","1767955",NA,2012,6.1,66.8,NA
"XLR58DCWC7","Ranu Uitzendbureau B.V.","Amsterdam","nee","nee","ja",NA,NA,NA,NA,2012,NA,NA,NA
"XLRFDQAPFR","Spaarnestad-thuiszorg","Haarlem","nee","nee","ja",NA,NA,NA,NA,2012,NA,NA,NA
"XLRUG7KNSB","Stichting Saygim Zorg","HELMOND","nee","nee","ja",NA,NA,NA,NA,2012,NA,NA,NA
"XLS598DVLR","Stichting Mantelzorg & Dementie","Amsterdam","nee","nee","ja",NA,NA,NA,NA,2012,NA,NA,NA
"XLTR3QN6BB","Coöperatie Boer en Zorg","Wageningen","ja","ja","nee","3995914","15805","170132",NA,2012,0.4,4.3,NA
"XLUNVEERFK","Stichting Je Maintiendrai","Oldebroek","nee","ja","nee",NA,NA,NA,NA,2012,NA,NA,NA
"XLUSX5PH8T","Hoeve Paradij","Aduard","nee","ja","nee",NA,NA,NA,NA,2012,NA,NA,NA
"XLVPP5GH79","Stichting Vleugelzorg","Echt","nee","nee","ja",NA,NA,NA,NA,2012,NA,NA,NA
"XLXWKCR8PK","Thuiszorg Soesa B.V.","'s-Gravenhage","nee","nee","ja",NA,NA,NA,NA,2012,NA,NA,NA
"XLY5H4VRZ9","Stichting Zorg Parchuis Spelderholt","Beekbergen","nee","nee","ja",NA,NA,NA,NA,2012,NA,NA,NA
"XLYVM692TK","Home-Care","Arnhem","nee","nee","ja","500421","-6573","336088",NA,2012,-1.3,67.2,NA
"XLZGQMBS26","Stichting N-Joy at home","Geleen","nee","ja","nee",NA,NA,NA,NA,2012,NA,NA,NA
"YA22MDLMLT","Stichting Oase","Hoensbroek","ja","ja","nee","957825","66312","556620",NA,2012,6.9,58.1,NA
"YA2NBB5FPR","Stichting Mondriaan","Heerlen","ja","nee","nee","150810000","117000","108764000",NA,2012,0.1,72.1,NA
"YA2Y9RBYX7","Stichting ZorgInjection Thuiszorg","Gorinchem","nee","nee","ja","597494","16283","479516",NA,2012,2.7,80.3,NA
"YA45UF3MMK","Stichting Wonen en Psychiatrie","Terneuzen","ja","nee","nee","4317607","-156080","3229899",NA,2012,-3.6,74.8,NA
"YAFFLADAYT","Stichting Surplus","Zevenbergen","nee","nee","ja","82377516","-1185417","60021912",NA,2012,-1.4,72.9,NA
"YAFG4VRC5B","Actief Zorg B.V.","TILBURG","nee","nee","ja","3270782","-23787","3024555",NA,2012,-0.7,92.5,NA
"YAFKRC2LD7","Stichting Psycho Eindhoven","Eindhoven","ja","nee","nee","49572","10259","21153",NA,2012,20.7,42.7,NA
"YAHWNDT3AR","Stichting Aafje Thuiszorg Huizen Zorghotels","Rotterdam","nee","nee","ja","193095694","1026736","132775506",NA,2012,0.5,68.8,NA
"YAM2SMZ84G","Stichting Kalorama","Beek","nee","ja","ja","29363742","781850","19964615",NA,2012,2.7,68,NA
"YAMLW4F59K","Stichting Attent wonen welzijn zorg","De Steeg","nee","nee","ja","61543736","1992805","40620983",NA,2012,3.2,66,NA
"YAMSJA6756","Stichting Welzijn Rijnwaarden","Lobith","nee","nee","ja","283951","20116","127568",NA,2012,7.1,44.9,NA
"YARJ55NYL9","Stichting Zorggroep Ena","Voorthuizen","nee","nee","ja","13518802","794403","8385790",NA,2012,5.9,62,NA
"YATG8QKBAK","Stichting Savant, Organisatie Voor Zorg","Helmond","nee","nee","ja","65933167","2071479","44147649",NA,2012,3.1,67,NA
"YATK67CZ86","Stichting MeanderGroep Zuid-Limburg","Landgraaf","nee","nee","ja","181509471","2372519","132595912",NA,2012,1.3,73.1,NA
"YAWRYT9XGG","Praktijk Buitenpost Centrum Ambulante Geestelijke Gezondheidszorg Buitenpost","Buitenpost","ja","nee","nee","1823246","424512","1052176",NA,2012,23.3,57.7,NA
"YAXAXEGF67","Stichting Zozijn Beheer","Wilp","nee","ja","nee","122461368","3740284","87383597",NA,2012,3.1,71.4,NA
"YAXEHCEX2B","Stichting Betere Thuiszorg Twente & Achterhoek","Hengelo","nee","nee","ja","3779688","82895","3502138",NA,2012,2.2,92.7,NA
"YAXM3YYNJT","Stichting De Waalboog, zorg, welzijn en wonen","Nijmegen","nee","nee","ja","43841291","1218935","29480886",NA,2012,2.8,67.2,NA
"YAZ9PRSNSB","Stichting Zorggroep Groningen","Groningen","nee","nee","ja","62763163","923420","35085838",NA,2012,1.5,55.9,NA
"YK2E6KCS77","TZBN B.V.","'s-Gravenhage","nee","nee","ja",NA,NA,NA,NA,2012,NA,NA,NA
"YK2XG66T8R","Vlietstede Psychologen B.V.","Voorburg","ja","nee","nee","1515859","65884","1109076",NA,2012,4.3,73.2,NA
"YK3VL9LEYB","Stichting Zorg Plus Twente","Almelo","nee","nee","ja","2523427","464","2510000",NA,2012,0,99.5,NA
"YK8AND99VK","Stichting Nova House","Amsterdam","ja","nee","nee",NA,NA,NA,NA,2012,NA,NA,NA
"YK92B28VP7","Stichting Vitaalpunt","Amsterdam","ja","nee","nee","938748","3858","0",NA,2012,0.4,0,NA
"YK9YYAPQ4K","Stichting Thuiszorg Brasamie","Amsterdam","nee","nee","ja",NA,NA,NA,NA,2012,NA,NA,NA
"YKAQ9R66TT","Stichting BiOns Beheer","Markelo","nee","nee","ja",NA,NA,NA,NA,2012,NA,NA,NA
"YKB3HTMZBK","Delphinium","Heerlen","nee","nee","ja",NA,NA,NA,NA,2012,NA,NA,NA
"YKBBVMZBP9","Distel Zorg B.V.","Amsterdam","nee","nee","ja",NA,NA,NA,NA,2012,NA,NA,NA
"YKBT3RBJLG","EnDan.nu B.V.","ROTTERDAM","ja","nee","nee",NA,NA,NA,NA,2012,NA,NA,NA
"YKBYX4FMX6","Stichting De Skuul, herstel ondersteunende verslavingszorg","Den Hoorn","ja","nee","nee","124235","34813","39203",NA,2012,28,31.6,NA
"YKCDZVUUCT","Standby Zorg B.V.","Boxtel","nee","nee","ja",NA,NA,NA,NA,2012,NA,NA,NA
"YKCS3E22JB","Stichting ReVisie","Nieuwerbrug aan den Rijn","ja","nee","nee",NA,NA,NA,NA,2012,NA,NA,NA
"YKDMTE5LJG","Brasa Zorggroep Nederland","Amsterdam","nee","nee","ja",NA,NA,NA,NA,2012,NA,NA,NA
"YKDSLPWB66","Stichting Artidé Zorg","Epen","nee","ja","nee","103187","4984","53841",NA,2012,4.8,52.2,NA
"YKFSEUJGQG","ZORGCOÖPERATIE KLAVER4YOU U.A.","Mastenbroek","nee","ja","nee",NA,NA,NA,NA,2012,NA,NA,NA
"YKG8AHFT7K","Arlero Thuiszorg B.V.","ASSEN","nee","nee","ja","6597335","216385","6016046",NA,2012,3.3,91.2,NA
"YKHBV6DGFB","Bosman GGZ B.V.","Lelystad","ja","nee","nee","4082735","224332","2812765",NA,2012,5.5,68.9,NA
"YKK7P4M2SG","Stichting Klas op Wielen","Alkmaar","nee","ja","nee",NA,NA,NA,NA,2012,NA,NA,NA
"YKKRUTZZF7","Stichting Liemerije","Zevenaar","nee","nee","ja","28061044","382409","17774979",NA,2012,1.4,63.3,NA
"YKLGRQNDD9","Stichting Sta Op Zorg","Vlissingen","ja","nee","nee",NA,NA,NA,NA,2012,NA,NA,NA
"YKM7QL73HK","Statera Jeugd en Gezin B .V.","Leek","ja","nee","nee","65179","24157","31035",NA,2012,37.1,47.6,NA
"YKM99GNPK6","Stichting SOTERIA NEDERLAND","Zutphen","ja","nee","nee",NA,NA,NA,NA,2012,NA,NA,NA
"YKMRB959M9","Terraplant","Midwolda","ja","nee","nee",NA,NA,NA,NA,2012,NA,NA,NA
"YKRQ42EV8K","Opis","Rosmalen","ja","nee","nee",NA,NA,NA,NA,2012,NA,NA,NA
"YKS8MJWZQ9","Dagbesteding De Swaen","Veenklooster","nee","ja","nee",NA,NA,NA,NA,2012,NA,NA,NA
"YKSP6PNBEG","Stichting De Schavuiten","Leiden","nee","nee","ja",NA,NA,NA,NA,2012,NA,NA,NA
"YKTAJFFXAT","Wooncadans","Alblasserdam","nee","ja","nee",NA,NA,NA,NA,2012,NA,NA,NA
"YKTJFXZDRK","Stichting Zorg Almere","Almere","nee","ja","nee","367000","-16000","327000",NA,2012,-4.4,89.1,NA
"YKTMYZBPN9","Zorgboerderij 'De Olden Gaorden'","Winterswijk Woold","nee","ja","nee",NA,NA,NA,NA,2012,NA,NA,NA
"YKUFY79KWT","Het Zorgmakelaarskantoor ZIN B.V.","Heeten","nee","nee","ja",NA,NA,NA,NA,2012,NA,NA,NA
"YKUKJWJQV7","Stichting Firmitas","Rotterdam","nee","ja","ja",NA,NA,NA,NA,2012,NA,NA,NA
"YKV62MBBRB","Stichting Maatschappelijke Dienstverlening Bolwerk","Zutphen","ja","nee","nee",NA,NA,NA,NA,2012,NA,NA,NA
"YKVJCWQQQT","Men Care B.V.","'s-Gravenhage","nee","nee","ja",NA,NA,NA,NA,2012,NA,NA,NA
"YKWUUE4299","Kinderpsychiatrische Praktijk NW Veluwe B.V.","Lelystad","ja","nee","nee",NA,NA,NA,NA,2012,NA,NA,NA
"YKWVEQVAD6","Stichting Instituut voor Mentale Vitaliteit","Goor","ja","nee","nee",NA,NA,NA,NA,2012,NA,NA,NA
"YKYCDELLMR","Fundament Dragers in Zorg","'t Goy","ja","ja","nee",NA,NA,NA,NA,2012,NA,NA,NA
"YKZQCYUJXB","Madeliefje thuiszorg","Amsterdam","nee","nee","ja",NA,NA,NA,NA,2012,NA,NA,NA
"YS2LB75WN9","Dunya Zorg en Welzijn B.V.","Breda","nee","nee","ja","1251665","41977","1060358",NA,2012,3.4,84.7,NA
"YS2SQD7XRK","MoniCare thuis in zorg","Pannerden","nee","nee","ja","440543","76294","268673",NA,2012,17.3,61,NA
"YS384B7F8G","Stichting De Duynsberg","Tilburg","nee","nee","ja","5902760","-34879","3205649",NA,2012,-0.6,54.3,NA
"YS3H7QCNZR","Stichting Juzt","Breda","nee","ja","nee","56138365","-144887","41744574",NA,2012,-0.3,74.4,NA
"YS3PKD5MA7","stichting RIBW Midden-Brabant","Tilburg","ja","nee","nee","32914699","2461695","20605471",NA,2012,7.5,62.6,NA
"YS4FCNSLP6","Stichting Respect Zorggroep Scheveningen","DEN HAAG","nee","nee","ja","40904540","3881578","27011281",NA,2012,9.5,66,NA
"YS4G2Z97RR","Stichting Zorgfederatie Oldenzaal","Oldenzaal","nee","nee","ja","11221637","184239","7669734",NA,2012,1.6,68.3,NA
"YS569V2CK9","Stichting De Hoop","Dordrecht","ja","nee","nee","27540555","-369500","19420815",NA,2012,-1.3,70.5,NA
"YS57BAU6M7","Stichting Syndion","Gorinchem","nee","ja","nee","50727255","544068","35452583",NA,2012,1.1,69.9,NA
"YS5RXHJFUB","Stichting Profila Zorg","Houten","ja","ja","nee","13709208","451143","8353553",NA,2012,3.3,60.9,NA
"YS6Z3LP4Q9","Stichting Rijnland Zorggroep","Leiderdorp","nee","nee","ja","191368557","5915726","105056651",NA,2012,3.1,54.9,NA
"YS7SPGWAER","Stichting Ouderenzorg Oudewater","Oudewater","nee","nee","ja","5848621","628610","3536678",NA,2012,10.7,60.5,NA
"YS8NNM9U4K","Stichting De Stouwe","Meppel","nee","nee","ja","20386524","903994","12532572",NA,2012,4.4,61.5,NA
"YS8YC4QTCT","Stichting R.K. Ouderenzorg St. Franciscus","Veendam","nee","nee","ja","2630729","167362","2176774",NA,2012,6.4,82.7,NA
"YS9FECGXD9","Stichting Gasthuis Sint Jan de Deo","Millingen aan de Rijn","nee","nee","ja","3005530","18275","1969685",NA,2012,0.6,65.5,NA
"YS9KZ5WY6T","Het Schild, Centrum voor blinde en slechtziende ouderen","Wolfheze","nee","nee","ja","5625774","523882","3887873",NA,2012,9.3,69.1,NA
"YSAPFK8BHB","Stichting Huize het Oosten","Bilthoven","nee","nee","ja","9472836","1828908","4423800",NA,2012,19.3,46.7,NA
"YSCB3JTELB","Stichting Zorg-Wooncentrum den Bouw Warnsveld","Warnsveld","nee","nee","ja","4803718","504989","2281540",NA,2012,10.5,47.5,NA
"YSCTJPX8VR","Stichting LSG-Rentray","Eefde","ja","ja","nee","154961994","-961527","113721497",NA,2012,-0.6,73.4,NA
"YSDT7UN4BK","Stichting Wonen Plus Welzijn","Schagen","nee","nee","ja","2304599","44181","1081663",NA,2012,1.9,46.9,NA
"YSE46H6G4R","Orbis Medisch en Zorgconcern. KvK nummer is van het groepshoofd (stichting Orbis Medisch Centrum)","Geleen","ja","nee","ja","351217865","7875387","194839993",NA,2012,2.2,55.5,NA
"YSE5UY8N97","Mutsaersstichting","Venlo","ja","nee","nee","28258240","1422118","16824497",NA,2012,5,59.5,NA
"YSEU2AY7YB","R.K. Stichting St. Jozef Wonen en Zorg","Meijel","nee","nee","ja","5847799","382292","3850442",NA,2012,6.5,65.8,NA
"YSFGYHBFG9","Van den Dool Zorg & Begeleiding","Hendrik-Ido-Ambacht","nee","nee","ja","1655898","17506","1422488",NA,2012,1.1,85.9,NA
"YSFTP2QZS7","Stichting Thuiszorg Midden-Gelderland","Arnhem","nee","nee","ja","77688000","-893000","67627000",NA,2012,-1.1,87,NA
"YSFY4AR6JK","Stichting Rivas Zorggroep","Gorinchem","nee","nee","ja","253341114","7109414","174668787",NA,2012,2.8,68.9,NA
"YSJ2R463CB","Stichting Regionale Instelling voor Beschermd Wonen Kennemerland/Amstelland en de Meerlanden","Haarlem","ja","nee","nee","34678653","2064549","20359252",NA,2012,6,58.7,NA
"YSKML94G69","Stichting Pro Senectute","Amsterdam","nee","nee","ja","25828802","-165717","13649395",NA,2012,-0.6,52.8,NA
"YSL88TFEXT","Stichting Woonzorgcentrum De Beyart","Maastricht","nee","nee","ja","5641708","184348","3994505",NA,2012,3.3,70.8,NA
"YSMDSWZ6AT","Stichting Maatschappelijke Opvang Midden-Brabant, Traverse","Tilburg","ja","nee","nee","14823380","-12881","11429743",NA,2012,-0.1,77.1,NA
"YSNKWN72P9","Woon- en Zorgcentrum Humanitas","Deventer","nee","nee","ja","10124607","940463","4158736",NA,2012,9.3,41.1,NA
"YSNUSPLUV7","Universitair Medisch Centrum St Radboud","Nijmegen","ja","nee","nee","888764271","13124766","528530307",NA,2012,1.5,59.5,NA
"YSPMEQXKQB","Stichting Antroz","Zeist","nee","nee","ja","12687251","169171","8396011",NA,2012,1.3,66.2,NA
"YSQJ3X9BC6","Stichting Zorggroep Florence","Rijswijk","nee","nee","ja","213780987","4354039","146414370",NA,2012,2,68.5,NA
"YSS7B2M9GK","Stichting Amerpoort","Baarn","nee","ja","nee","126673798","5429021","80984160",NA,2012,4.3,63.9,NA
"YSS9QFF3J6","Stichting Amaris Zorggroep","Laren NH","nee","nee","ja","94462810","2287366","63232780",NA,2012,2.4,66.9,NA
"YSUQG6BHYG","Stichting Woongemeenschap voor Ouderen","Piershil","nee","nee","ja","3891874","481352","2598553",NA,2012,12.4,66.8,NA
